,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
12029,Rui Ka Bojh,-1997.0,117,Drama,7.7,215,Subhash Agrawal,Pankaj Kapur,Reema Lagoo,Raghuvir Yadav,Subhash Agrawal Pankaj Kapur Reema Lagoo Raghuvir Yadav
12030,Rukh,-2017.0,106,"Drama, Mystery",6.4,596,Atanu Mukherjee,Manoj Bajpayee,Smita Tambe,Adarsh Gourav,Atanu Mukherjee Manoj Bajpayee Smita Tambe Adarsh Gourav
12031,Rukhsana,-1955.0,145,"Action, Adventure, Drama",6.0,,R.C. Talwar,Amar,Kishore Kumar,Meena Kumari,R.C. Talwar Amar Kishore Kumar Meena Kumari
12032,Rukhsar,-1991.0,0,Drama,6.0,,Ashish Nehra,Ronit Agrawal,Mohan Kant,Geeta Saroha,Ashish Nehra Ronit Agrawal Mohan Kant Geeta Saroha
12033,Rukhsat,-1988.0,0,Romance,7.2,46,Simi Garewal,Mithun Chakraborty,Simi Garewal,Marc Zuber,Simi Garewal Mithun Chakraborty Simi Garewal Marc Zuber
12034,Rukke Padge,-2010.0,0,Comedy,6.0,,Ashoak C. Tyagi,Gaurav Prateek,Rajendra Gupta,Khayali Saharan,Ashoak C. Tyagi Gaurav Prateek Rajendra Gupta Khayali Saharan
12035,Rukmavati Ki Haveli,-1991.0,0,Drama,6.3,20,Govind Nihalani,Ila Arun,Uttara Baokar,Jyoti Subash Chandra,Govind Nihalani Ila Arun Uttara Baokar Jyoti Subash Chandra
12036,Rukmini Swayamvar,-1946.0,0,,6.0,,Baburao Painter,Ratnamala,Chandrakant,Durga Khote,Baburao Painter Ratnamala Chandrakant Durga Khote
12037,Rules: Pyaar Ka Superhit Formula,-2003.0,0,"Comedy, Romance",6.4,313,Parvati Balagopalan,Tanuja,Milind Soman,Meera Vasudevan,Parvati Balagopalan Tanuja Milind Soman Meera Vasudevan
12038,Run,-2004.0,137,"Action, Comedy, Drama",4.8,"1,292",Jeeva,Abhishek Bachchan,Bhoomika Chawla,Mahesh Manjrekar,Jeeva Abhishek Bachchan Bhoomika Chawla Mahesh Manjrekar
12039,Run Bhola Run,-2013.0,0,Comedy,6.2,6,Neeraj Vora,Rahul Dev,Govinda,Celina Jaitly,Neeraj Vora Rahul Dev Govinda Celina Jaitly
12040,Run Bhuumi - Champs Don't Cry,-2015.0,107,Family,5.7,7,Prashant Singh Rathore,Himani Attri,Mansoob Haider,Hema Singh,Prashant Singh Rathore Himani Attri Mansoob Haider Hema Singh
12041,Run Zindagi Run,-2020.0,152,"Action, Crime, Thriller",7.5,8,Dinesh Parihar,Nitesh Shrivastava,Nidhi Shrivastava,Lokesh Gorker,Dinesh Parihar Nitesh Shrivastava Nidhi Shrivastava Lokesh Gorker
12042,Rungoli,-1962.0,136,"Musical, Drama, Family",6.5,13,Amar Kumar,Kishore Kumar,Vyjayanthimala,Jeevan,Amar Kumar Kishore Kumar Vyjayanthimala Jeevan
12043,Running Shaadi,-2017.0,114,"Comedy, Romance",6.6,"2,440",Amit Roy,Arsh Bajwa,Taapsee Pannu,Richa Meena,Amit Roy Arsh Bajwa Taapsee Pannu Richa Meena
12044,Runway: Love Among Gun Shots...,-2009.0,102,"Action, Crime, Drama",4.0,23,Praful Tiwari,Sunil Tiwari,Amarjeet,Tulip Joshi,Praful Tiwari Sunil Tiwari Amarjeet Tulip Joshi
12045,Rupa Rani Ramkali,-2001.0,130,Action,6.0,,K.I. Sheikh,Sadashiv Amrapurkar,Gajendra Chauhan,Mohan Joshi,K.I. Sheikh Sadashiv Amrapurkar Gajendra Chauhan Mohan Joshi
12046,Rupaiya,-1950.0,0,Drama,6.0,,G.P. Pawar,Manmohan Krishna,Mirajkar,Kumari Naaz,G.P. Pawar Manmohan Krishna Mirajkar Kumari Naaz
12047,Rupa's Boutique,-2017.0,52,Documentary,7.7,7,Glória Halász,,,,Glória Halász   
12048,Rupaye Dus Karod,-1991.0,149,"Action, Drama, Thriller",5.4,25,Sikander Bharti,Rajesh Khanna,Chunky Panday,Amrita Singh,Sikander Bharti Rajesh Khanna Chunky Panday Amrita Singh
12049,Rush,-2012.0,110,"Crime, Thriller",3.7,837,Shamin Desai,Emraan Hashmi,Sagarika Ghatge,Neha Dhupia,Shamin Desai Emraan Hashmi Sagarika Ghatge Neha Dhupia
12050,Ruslaan,-2009.0,0,Drama,6.0,,Mohan Sharma,Asrani,Megha Chatterjee,Raymond D'Souza,Mohan Sharma Asrani Megha Chatterjee Raymond D'Souza
12051,Rustom,-1982.0,139,Drama,6.3,23,Dara Singh,Dara Singh,Tanuja,Sohrab Modi,Dara Singh Dara Singh Tanuja Sohrab Modi
12052,Rustom,-2016.0,148,"Crime, Drama, Thriller",7.1,"24,285",Dharmendra Suresh Desai,Manoj Bajpayee,Akshay Kumar,Sharad Kelkar,Dharmendra Suresh Desai Manoj Bajpayee Akshay Kumar Sharad Kelkar
12053,Rustom Kaun,-1966.0,131,"Action, Adventure",6.2,8,Dharam Kumar,Randhawa,Malika,Tiger Joginder,Dharam Kumar Randhawa Malika Tiger Joginder
