,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
0,#Gadhvi (He thought he was Gandhi),-2019.0,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,Gaurav Bakshi Rasika Dugal Vivek Ghamande Arvind Jangid
1,#Homecoming,-2021.0,90,"Drama, Musical",6.0,,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana,Soumyajit Majumdar Sayani Gupta Plabita Borthakur Roy Angana
2,#Yaaram,-2019.0,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,Ovais Khan Prateik Ishita Raj Siddhant Kapoor
3,...And Once Again,-2010.0,105,Drama,6.0,,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali,Amol Palekar Rajat Kapoor Rituparna Sengupta Antara Mali
4,...Aur Pyaar Ho Gaya,-1997.0,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,Rahul Rawail Bobby Deol Aishwarya Rai Bachchan Shammi Kapoor
5,...Yahaan,-2005.0,142,"Drama, Romance, War",7.4,"1,086",Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,Shoojit Sircar Jimmy Sheirgill Minissha Lamba Yashpal Sharma
6,.in for Motion,-2008.0,59,Documentary,6.0,,Anirban Datta,,,,Anirban Datta   
7,?: A Question Mark,-2012.0,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,Allyson Patel Yash Dave Muntazir Ahmad Kiran Bhatia
8,@Andheri,-2014.0,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,Biju Bhaskar Nair Augustine Fathima Babu Byon
9,1:1.6 An Ode to Lost Love,-2004.0,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,Madhu Ambat Rati Agnihotri Gulshan Grover Atul Kulkarni
10,1:13:7 Ek Tera Saath,-2016.0,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,Arshad Siddiqui Pankaj Berry Anubhav Dhir Hritu Dudani
11,100 Days,-1991.0,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,Partho Ghosh Jackie Shroff Madhuri Dixit Javed Jaffrey
12,100% Love,-2012.0,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,Rabi Kinagi Jeet Koyel Mallick Sujoy Ghosh
13,101 Ratein,-1990.0,0,Thriller,6.0,,Harish,Saraswati,Disco Shanti,,Harish Saraswati Disco Shanti 
14,102 Not Out,-2018.0,102,"Comedy, Drama",7.4,"6,619",Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,Umesh Shukla Amitabh Bachchan Rishi Kapoor Vijay Raaz
15,108 Limited,-1991.0,0,,6.0,,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam,Anand Anddy Vijay Raaz Sanjay Mishra Brahmanandam
16,108 Teerthyatra,-1987.0,0,"Comedy, Drama, Fantasy",6.0,,Rajpati,Pravin Anand,Nayan Bhatt,Jeetu,Rajpati Pravin Anand Nayan Bhatt Jeetu
17,10ml LOVE,-2010.0,87,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,Sharat Katariya Neil Bhoopalam Anusha Bose Manu Rishi Chadha
18,11 O'Clock,-1948.0,0,,6.0,,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi,Homi Wadia Aftab Sayani Atish Austin Ki Bachchi
19,12 Bulbule,-2021.0,0,"Comedy, Drama, Family",6.0,,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit,Jagat Joon Sonu Sonkar Sunita Verman Anubhav Dixit
20,12 O'Clock,-1958.0,132,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,Pramod Chakravorty Guru Dutt Waheeda Rehman Shashikala
21,12 O'Clock,-2021.0,105,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,Ram Gopal Varma Mithun Chakraborty Makrand Deshpande Dalip Tahil
22,12 Years,-1991.0,0,Biography,6.0,,Sohail Tatari,,,,Sohail Tatari   
23,124a,-2021.0,0,Documentary,6.0,,Varrun Sukhraj,,,,Varrun Sukhraj   
24,127 B,-2017.0,116,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,Seshu Kmr Mast Ali Aziz Naser Heena Shaik
25,13 May Gulaabi Nagar,-2010.0,0,Action,6.0,,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma,N.K. Pareek Nirmal Pandey Khushi Rajpoot Raj Singh Verma
26,13 Tribute of Love,-2020.0,66,Drama,6.0,,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt,Rahul Tiwari Rahul Tiwari Adhiyari Anil Arora Asima Bhatt
27,13B: Fear Has a New Address,-2009.0,146,"Drama, Horror, Mystery",7.3,"6,329",Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,Vikram K. Kumar Madhavan Neetu Chandra Poonam Dhillon
28,14 Phere,-2021.0,0,Comedy,6.0,,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan,Devanshu Singh Vikrant Massey Kriti Kharbanda Gauahar Khan
29,15 Park Avenue,-2005.0,116,Drama,7.1,"1,002",Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,Aparna Sen Shabana Azmi Konkona Sen Sharma Rahul Bose
30,150 Seconds Ago,-2002.0,112,,6.0,,Batul Mukhtiar,,,,Batul Mukhtiar   
31,15th August,-1993.0,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,Vicky Ranawat Ronit Roy Tisca Chopra Shakti Kapoor
32,16 December,-2002.0,158,"Action, Thriller",6.9,"1,235",Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,Mani Shankar Milind Soman Danny Denzongpa Gulshan Grover
33,18.11,-2014.0,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,Mohibul Haque Rehal Khan Gulshan Grover Mukesh Tiwari
34,1857,-1946.0,0,"Drama, History",5.0,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi,Mohan Sinha Nigar Sultana Suraiya Menaka Devi
35,19 Revolutions,-2004.0,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,Sridhar Reddy Tarun Arora Gulshan Grover Vinay Pandey
36,1911,-1991.0,0,"Drama, History, Sport",6.0,,Nikkhil Advani,John Abraham,,,Nikkhil Advani John Abraham  
37,1920,-2008.0,138,"Horror, Mystery, Romance",6.4,"3,100",Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,Vikram Bhatt Rajniesh Duggall Adah Sharma Anjori Alagh
38,1920 London,-2016.0,120,"Horror, Mystery",4.1,"1,559",Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,Dharmendra Suresh Desai Sharman Joshi Meera Chopra Vishal Karwal
39,1920: Evil Returns,-2012.0,124,"Drama, Horror, Romance",4.8,"1,811",Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,Bhushan Patel Vicky Ahuja Tia Bajpai Tarakesh Chauhan
40,1921,-2018.0,144,"Horror, Mystery, Romance",4.5,"1,069",Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,Vikram Bhatt Zareen Khan Karan Kundra Vikram Bhatt
41,1942: A Love Story,-1994.0,157,"Action, Drama, History",7.2,"3,223",Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,Vidhu Vinod Chopra Anil Kapoor Jackie Shroff Manisha Koirala
42,1971,-2007.0,136,"Action, Drama, War",8.1,"1,892",Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,Amrit Sagar Manoj Bajpayee Ravi Kishan Deepak Dobriyal
43,1978: A Teen Night Out,-2019.0,107,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,Aziz Zee Abuzar Akhtar Apurva Godbole Vaishnavi Kadam
44,1982 - A Love Marriage,-2017.0,113,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,Prashant Gore Amitkumar Sharma Omna Rita Agarwal
45,19th January,-2014.0,0,Drama,7.3,16,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia,Sanjay Amar Mumtaz Ahmed Bidita Bag Madhuri Bhatia
46,2 Band Radio,-2019.0,0,Comedy,6.0,,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi,Saki Shah Bilal Ahamad Bhagat Neelu Dogra Rahat Kazmi
47,2 GB Ki Life,-1991.0,0,Drama,6.0,,,,,,   
48,2 Little Indians,-2013.0,0,"Comedy, Family",5.6,14,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra,Ravi Bhatia Ravi Bhatia Ronak Bhatia Kamal Chopra
49,2 Nights in Soul Valley,-2012.0,80,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,Harish Sharma Hemant Pandey Sumeet Sharma Sumeet Sharma
50,2 October,-2003.0,122,"Action, Crime, Thriller",5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,Sunil Tiwari Ashutosh Rana Rocky Verma Saadhika
51,2 Piece,-2005.0,0,Drama,6.0,,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath,Kishan Shah Ramesh Goyal Satnam Kaur Anil Nagrath
52,2 States,-2014.0,149,"Comedy, Drama, Romance",6.9,"24,034",Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,Abhishek Varman Arjun Kapoor Alia Bhatt Amrita Singh
53,2,-2018.0,148,"Action, Sci-Fi",6.2,"21,938",S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,S. Shankar Rajinikanth Akshay Kumar Amy Jackson
54,2001: Do Hazaar Ek,-1998.0,149,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,Raj N. Sippy Jackie Shroff Dimple Kapadia Tabu
55,2006 Varanasi: The Untold,-2018.0,0,Drama,6.0,,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan,Aryeman Ramsay Mukul Dev Rahul Dev Ravi Kishan
56,2007 the last encounter,-2018.0,0,Drama,6.0,,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami,Partha Sarkar Bidita Bag Sameer Dharmadhikari Jatin Goswami
57,2016 the End,-2017.0,130,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,Jaideep Chopra Divyendu Sharma Kiku Sharda Harshad Chopda
58,21: Battle of Saragarhi,-1991.0,0,War,6.0,,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan,Rajkumar Santoshi Randeep Hooda Vikramjeet Virk Nitin Chauhan
59,22 Days,-2018.0,124,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,Shivam Tiwari Rahul Dev Shivam Tiwari Sophia Singh
60,22 June 1897,-1979.0,121,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,Jayoo Patwardhan Nachiket Patwardhan Sadashiv Amrapurkar Udayan Dixit
61,22 Yards,-2019.0,126,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,Mitali Ghoshal Barun Sobti Amartya Ray Rajit Kapoor
62,23rd March 1931: Shaheed,-2002.0,188,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,Guddu Dhanoa Bobby Deol Sunny Deol Amrita Singh
63,24 Ghante,-1998.0,0,Thriller,6.0,,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal,Tinnu Anand Bharat Kapoor Goga Kapoor Amrit Pal
64,25th July,-1951.0,0,,7.6,5,Chitra Mitra,,,,Chitra Mitra   
65,26 January,-1956.0,0,,6.6,7,Ramesh Saigal,Ajit,,,Ramesh Saigal Ajit  
66,26th January,-1956.0,0,Drama,6.0,,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra,Ramesh Saigal Ajit Nalini Jaywant Leela Mishra
67,26th July at Barista,-2008.0,0,Drama,3.1,32,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla,Mohan Sharma Ajita Himani Chawla Sumeet Chawla
68,27 Down,-1974.0,115,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,Awtar Krishna Kaul Sudhir Dalvi Rakhee Gulzar Sadhu Meher
69,3 AM: A Paranormal Experience,-2014.0,103,"Horror, Romance",5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,Vishal Mahadkar Salil Acharya Kavin Dave Jason Matthew Ethier
70,3 Bachelors,-2012.0,114,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,Ajai Sinha Sharman Joshi Negar Khan Nigaar Khan
71,3 Days 4 Nights in Bihar,-2020.0,0,Comedy,6.0,,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz,Abhishek Dogra Jackky Bhagnani Sharman Joshi Ruslaan Mumtaz
72,3 Deewarein,-2003.0,115,"Crime, Drama",7.8,"2,322",Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,Nagesh Kukunoor Naseeruddin Shah Jackie Shroff Juhi Chawla
73,3 Dev,-2019.0,122,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,Ankush Bhatt Karan Singh Grover Ravi Dubey Kunaal Roy Kapur
74,3 Idiots,-2009.0,170,"Comedy, Drama",8.4,"357,889",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Rajkumar Hirani Aamir Khan Madhavan Mona Singh
75,3 Nights 4 Days,-2009.0,0,"Drama, Romance",5.2,23,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani,Devang Dholakia Sameer Aftab Hrishitaa Bhatt Anuj Sahani
76,3 Shyaane,-2020.0,0,Comedy,6.0,,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee,Anees Barudwale Asrani Rakesh Bedi Priyanshu Chatterjee
77,3 Storeys,-2018.0,100,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,Arjun Mukerjee Aisha Ahmed Tarun Anand Richa Chadha
78,3.0 Megapixel,-2015.0,99,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,Divakar Ghodake Seema Azmi Meenal Chirankar Pooja Kasekar
79,30 Days,-2004.0,0,Horror,5.0,14,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo,Ravi Sinha Abhay Bhargava Milind Gunaji Dinesh Hingoo
80,30 Minutes,-2016.0,0,Thriller,4.8,26,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar,Yesudas Rana Jung Bahadur Hrishitaa Bhatt Shiva Kumar
81,31st October,-2015.0,109,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,Shivaji Lotan Patil Soha Ali Khan Lakha Lakhwinder Singh Nagesh Bhonsle
82,340,-2009.0,0,Thriller,4.6,9,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa,Suryaprakash Lakkoju Ragesh Asthana Iqbal Azad Ahsaas Channa
83,36 China Town,-2006.0,140,"Comedy, Mystery, Thriller",5.7,"4,373",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,Abbas Alibhai Burmawalla Mastan Alibhai Burmawalla Akshaye Khanna Kareena Kapoor
84,36 Chowringhee Lane,-1981.0,122,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,Aparna Sen Jennifer Kendal Dhritiman Chatterjee Debashree Roy
85,36 Ghante,-1974.0,0,"Action, Crime, Drama",6.7,128,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt,Raj Tilak Raaj Kumar Mala Sinha Sunil Dutt
86,376 D,-2020.0,128,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,Gunveen Kaur Robin Sikarwar Vivek Kumar Deeksha Joshi
87,377 AbNormal,-2019.0,93,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,Faruk Kabir Muntazir Ahmad Shashank Arora Mohd. Zeeshan Ayyub
88,3D Saamri,-1985.0,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,Shyam Ramsay Tulsi Ramsay Rajan Sippy Arti Gupta
89,3G: A Killer Connection,-2013.0,125,"Horror, Sci-Fi, Thriller",3.6,"1,128",Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,Sheershak Anand Shantanu Ray Chhibber Neil Nitin Mukesh Sonal Chauhan
90,3rd EYE,-2019.0,145,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,Sanjay Niranjan Deepak Bhatia Mukul Dev Sakshi Dwivedi
91,3rd November,-2016.0,0,Horror,6.0,,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan,Vasant Narkar Minakshi Bhagat Pragya Chahar Kabir Khan
92,4 Sum,-1991.0,96,"Crime, Drama, Thriller",6.0,,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke,Neeraj Gwal Pranav Chandrakar Yashwant Anand Gupta Neeraj Uke
93,404: Error Not Found,-2011.0,121,"Drama, Mystery, Thriller",7.3,"2,548",Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,Prawaal Raman Rajvvir Aroraa Imaaduddin Shah Nishikant Kamat
94,417 Miles,-2016.0,75,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,Mainak Dhar Marilia Colturato Kyara Jacob Kyara Ralella Jacob
95,42 Kms.,-2009.0,0,"Drama, Sport",3.9,14,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani,Nisha Chainani Mandira Bedi Bikram Saluja Sammir Dattani
96,498A-The Wedding Gift,-2012.0,113,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,Suhaib Ilyasi Srishti Gautam Farida Jalal Supriya Karnik
97,4pm on the Court,-2011.0,115,Sport,6.0,,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma,Shine Krishna Ashish Bhatia Naveen Kaushik Vinay Sharma
98,5 Ghantey Mien 5 Crore,-2012.0,111,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,Faisal Saif Nassar Abdulla Shawar Ali Rashid Khan
99,5 Rifles,-1974.0,134,"Action, Comedy",6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,I.S. Johar Rakesh Khanna Rajesh Khanna Ambika Johar
100,5 Rifles,-2001.0,0,Action,6.0,,Hemant Birje,Anu Kashyap,Raza Murad,Paintal,Hemant Birje Anu Kashyap Raza Murad Paintal
101,5 Rupees,-2018.0,0,,6.0,,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,,Piyush Panjuani Shabana Azmi Yohaan Panjuani 
102,50 Lakh,-2007.0,0,"Comedy, Thriller",6.5,82,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan,Chandra Sekhar Yeleti Pawan Malhotra Mohit Chadha Veerendra Chauhan
103,500 Ka Note,-2002.0,0,Thriller,6.0,,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan,Tinnu Anand Birbal Chandrashekhar Siddharth Dhawan
104,5ters: Castle of Dark Master,-2011.0,110,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan,G. Venugopal Akash Avinash Gagan
105,6.40 PM,-1967.0,0,,5.4,5,Mani Kaul,,,,Mani Kaul   
106,6387 Meters Black Peak,-2020.0,85,Documentary,6.0,,Kovid Mittal,Kovid Mittal,,,Kovid Mittal Kovid Mittal  
107,64 Kaam Kalayen,-2002.0,0,Thriller,6.0,,Hemant Birje,Ankush Mohite,Kirti Rawal,,Hemant Birje Ankush Mohite Kirti Rawal 
108,6-5=2,-2014.0,104,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,Bharat Jain Prashantt Guptha Gaurav Paswala Gaurav Kothari
109,68 Pages,-2007.0,92,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,Sridhar Rangayan Mouli Ganguly Joy Sengupta Jayati Bhatia
110,69 Opposites Attract,-2011.0,96,Comedy,6.0,,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,,Amit r Agarwal Amit r Agarwal Kiran Kaur 
111,69 Reality in Us,-1991.0,0,"Drama, Romance, Thriller",6.0,,Samir Khan,,,,Samir Khan   
112,7 1/2 Phere: More Than a Wedding,-2005.0,136,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,Ishaan Trivedi Juhi Chawla Irrfan Khan Manoj Pahwa
113,7 Bijliyaan,-1988.0,126,Action,5.0,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,Raju Saigal Tina Ambani Shoma Anand Krishan Dhawan
114,7 Days,-1995.0,0,"Action, Drama",3.4,10,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill,Sunil Kumar Arvind Singh Channa Ruparel Avtar Gill
115,7 Hours to Go,-2016.0,115,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,Saurabh Varma Sandeepa Dhar Natasa Stankovic Shiv Panditt
116,7 Islands and a Metro,-2006.0,100,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,Dutta Madhusree Vibha Chhibber Harish Khanna Om Prakash
117,7 Khoon Maaf,-2011.0,137,"Drama, Mystery, Thriller",6.1,"5,640",Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,Vishal Bhardwaj Priyanka Chopra Jonas Vivaan Shah Neil Nitin Mukesh
118,7 Saal Baad,-1987.0,127,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,S.U. Syed Sharmila Tagore Suresh Oberoi Navin Nischol
119,706,-2019.0,120,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,Shravankumar Tiwari Mohan Agashe Raayo S. Bakhirta Divya Dutta
120,72 Hours: Martyr Who Never Died,-2019.0,130,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,Avinash Dhyani Avinash Dhyani Yeshi Dema Alka Amin
121,777 Charlie,-1991.0,136,"Adventure, Comedy, Drama",6.0,,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri,Kiranraj K Rakshit Shetty Charlie Sangeetha Sringeri
122,7th Villa,-2018.0,125,Horror,6.0,,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit,Ajay Arak Meenal Chauhan Mansi Sharma Vinit
123,8 PM: A Murder Mystery,-2008.0,0,Mystery,6.0,,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika,Sunil Bhojwani Krishna Abhishek Ramesh Bachwani Dravika
124,8 x 10 Tasveer,-2009.0,122,"Action, Fantasy, Mystery",5.4,"5,459",Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,Nagesh Kukunoor Akshay Kumar Ayesha Takia Javed Jaffrey
125,8119 Miles,-2021.0,115,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,Joe Eshwar Ranji Vijayan Kuriakose Oonnittan Guy Bleyaert
126,83,-2021.0,150,"Biography, Drama, History",6.0,,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin,Kabir Khan Ranveer Singh Deepika Padukone Tahir Raj Bhasin
127,88 Antop Hill,-2003.0,119,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,Kushan Nandy Atul Kulkarni Rahul Dev Suchitra Pillai
128,9 O' Clock,-2017.0,124,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,Amrit Raj Thakur Arun Bakshi Ajeet Goswami Rohit Rajawat
129,9 Roads 2 Peace,-1991.0,0,Adventure,6.0,,Virendra Rathore,,,,Virendra Rathore   
130,9 to 12,-2011.0,115,"Drama, Musical, Thriller",6.0,,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.,Ashok Patil Nimisha Baby Venkatesh Chakravarthy Kishore Kumar G.
131,99,-2009.0,135,"Comedy, Crime, Drama",7.3,"2,767",Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,Krishna D.K. Raj Nidimoru Kunal Khemu Boman Irani
132,99 Songs,-2019.0,128,"Musical, Romance",7.4,"1,901",Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,Vishwesh Krishnamoorthy Ehan Bhat Edilsy Vargas Tenzing Dalha
133,99.9 FM,-2005.0,90,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,Sanjay Bhatia Shawar Ali Rajkumar Kanojia Jai Nagra
134,A Ballad of Maladies,-2016.0,86,"Documentary, Music",6.0,,Sarvnik Kaur,Tushar Madhav,,,Sarvnik Kaur Tushar Madhav  
135,A Ballad of Maladies,-2016.0,86,"Documentary, History, Music",6.0,,Sarvnik Kaur,Tushar Madhav,,,Sarvnik Kaur Tushar Madhav  
136,A Billion Colour Story,-2016.0,105,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,Padmakumar Narasimhamurthy Dhruva Padmakumar Gaurav Sharma Vasuki
137,A Biopic from the Film Industry,-2019.0,0,Drama,6.0,,Sarkar Sahith,Suman Rana,Hari Vishnu,,Sarkar Sahith Suman Rana Hari Vishnu 
138,A Call from the Past,-2016.0,76,"Drama, Fantasy, Mystery",6.0,,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava,Ajay Jain Vidhu Rashmi Jain Ashok Banthia Bharat Ratna Bhargava
